"","LD1","LD2","LD3"
"Sku",0.848492146561119,0.660244246658646,0.660150917199656
"Sal",0.100734306000171,0.0361693215631326,0.584837373762884
"Str",-0.347610489810202,-0.707340896299483,-0.656170366711615
"Std",0.0818637718830969,-0.0378188587557366,0.148640067555139
"Spd",-0.601364793155895,1.6120020744997,-0.453819043271943
"Sda",-0.113210695858811,0.253543921798023,-1.39298793818838
"Smr1",0.199406888127468,0.409549789575449,-1.41159848691468
"Sds",-0.378108224112201,0.354073438945632,-0.780392838269211
"Sbi",-0.397266988624609,-0.12332414567904,-0.370100239141678
"Svi",0.738047912027154,-0.0648701022387489,1.74864721788848
"Smean",-0.24500349665443,-0.102873395672326,2.11223316514337
"SWt",-0.146651584578025,0.236291471151084,0.0103991868237897
"Stdi",-0.212914821826503,-0.0331645300447031,-0.242873678874674
"Maximumdepth",-1.71483873323859,0.186745023162977,0.984566747604518
"Meandensity",0.066729932019156,0.157292010399536,-0.00929169396577935
